time-min,LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.0001,0,0,0
2,0.258244885,0.452200379,0.039246408,0.226291236,2.58245E-05,4.522E-05,3.92464E-06,2.26291E-05
10,0.016626905,0.211567427,0.085157233,0.655190198,1.66269E-06,2.11567E-05,8.51572E-06,6.5519E-05
18,0.008839902,0.203521407,0.101478724,0.656044408,8.8399E-07,2.03521E-05,1.01479E-05,6.56044E-05
26,0.006441519,0.192233881,0.113426219,0.6557273,6.44152E-07,1.92234E-05,1.13426E-05,6.55727E-05
34,0.004883768,0.22991587,0.133674046,0.598708324,4.88377E-07,2.29916E-05,1.33674E-05,5.98708E-05
42,0.004115904,0.170429906,0.111168128,0.680600634,4.1159E-07,1.7043E-05,1.11168E-05,6.80601E-05
50,0.003414213,0.160732076,0.117358344,0.684253954,3.41421E-07,1.60732E-05,1.17358E-05,6.84254E-05
59,0.003391146,0.192240797,0.131661024,0.636761224,3.39115E-07,1.92241E-05,1.31661E-05,6.36761E-05
67,0.002992896,0.189477279,0.144037233,0.6279284,2.9929E-07,1.89477E-05,1.44037E-05,6.27928E-05
75,0.002470333,0.203970867,0.161369891,0.595443887,2.47033E-07,2.03971E-05,1.6137E-05,5.95444E-05
83,0.002338488,0.196715689,0.157656422,0.606874491,2.33849E-07,1.96716E-05,1.57656E-05,6.06874E-05
99,0.001507604,0.165173224,0.157535559,0.636022936,1.5076E-07,1.65173E-05,1.57536E-05,6.36023E-05
107,0.001848464,0.161646945,0.173571262,0.620914719,1.84846E-07,1.61647E-05,1.73571E-05,6.20915E-05
