time-h,LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.00141,0,0,0
0.066666667,0.925294669,0.028634464,0.045359056,0.00071181,0.001304665,4.03746E-05,6.39563E-05,1.00365E-06
0.2,0.608303388,0.032221005,0.358396465,0.001079141,0.000857708,4.54316E-05,0.000505339,1.52159E-06
0.333333333,0.378799461,0.027819687,0.592036523,0.00134433,0.000534107,3.92258E-05,0.000834771,1.8955E-06
0.6,0.135312689,0.015634667,0.84737469,0.001677954,0.000190791,2.20449E-05,0.001194798,2.36592E-06
0.883333333,0.037676401,0.007813828,0.952525105,0.001984665,5.31237E-05,1.10175E-05,0.00134306,2.79838E-06
1.416666667,0.009036981,0.004816417,0.98382677,0.002319832,1.27421E-05,6.79115E-06,0.001387196,3.27096E-06
1.833333333,0.006883612,0.004602207,0.98612076,0.00239342,9.70589E-06,6.48911E-06,0.00139043,3.37472E-06
2.5,0.004758581,0.005660847,0.986494544,0.003086028,6.7096E-06,7.98179E-06,0.001390957,4.3513E-06
3.316666667,0.003379278,0.006163316,0.986446426,0.004010981,4.76478E-06,8.69028E-06,0.001390889,5.65548E-06
5.816666667,0.002869546,0.00793997,0.984132555,0.005057928,4.04606E-06,1.11954E-05,0.001387627,7.13168E-06
