time-h,LP-fr,MP-fr,CP-fr,LP,MP,CP
0,1,0,0,0.0001,0,0
0.033333333,0.995325018,0.001543666,0.003131316,9.95325E-05,1.54367E-07,3.13132E-07
0.166666667,0.96647442,0.001501645,0.032023936,9.66474E-05,1.50164E-07,3.20239E-06
0.3,0.937147288,0.001472594,0.061380118,9.37147E-05,1.47259E-07,6.13801E-06
0.433333333,0.90726503,0.001308286,0.091426684,9.07265E-05,1.30829E-07,9.14267E-06
0.566666667,0.866952253,0.001303762,0.131743985,8.66952E-05,1.30376E-07,1.31744E-05
0.7,0.85013956,0.001457829,0.148402611,8.5014E-05,1.45783E-07,1.48403E-05
0.833333333,0.830718339,0.001525912,0.16775575,8.30718E-05,1.52591E-07,1.67756E-05
0.966666667,0.815426061,0.001622043,0.182951896,8.15426E-05,1.62204E-07,1.82952E-05
1.1,0.780089724,0.002059973,0.217850303,7.8009E-05,2.05997E-07,2.1785E-05
1.233333333,0.761442231,0.001978402,0.236579368,7.61442E-05,1.9784E-07,2.36579E-05
1.5,0.692176467,0.002195357,0.305628176,6.92176E-05,2.19536E-07,3.05628E-05
1.633333333,0.691096853,0.002333835,0.306569312,6.91097E-05,2.33383E-07,3.06569E-05
1.783333333,0.683113899,0.002488217,0.314397884,6.83114E-05,2.48822E-07,3.14398E-05
1.916666667,0.591925451,0.002684802,0.405389747,5.91925E-05,2.6848E-07,4.0539E-05
2.05,0.645529969,0.002568096,0.351901935,6.4553E-05,2.5681E-07,3.51902E-05
2.183333333,0.581265289,0.002780245,0.415954466,5.81265E-05,2.78025E-07,4.15954E-05
2.316666667,0.568480529,0.002932111,0.428587359,5.68481E-05,2.93211E-07,4.28587E-05
2.45,0.502113905,0.002961719,0.494924376,5.02114E-05,2.96172E-07,4.94924E-05
2.583333333,0.586607387,0.002926428,0.410466185,5.86607E-05,2.92643E-07,4.10466E-05
2.716666667,0.551289999,0.003149482,0.445560519,5.5129E-05,3.14948E-07,4.45561E-05
2.983333333,0.532888085,0.002925344,0.464186571,5.32888E-05,2.92534E-07,4.64187E-05
3.116666667,0.539097297,0.003122923,0.45777978,5.39097E-05,3.12292E-07,4.5778E-05
3.25,0.473006363,0.002951825,0.524041811,4.73006E-05,2.95183E-07,5.24042E-05
3.4,0.487384156,0.003275296,0.509340549,4.87384E-05,3.2753E-07,5.09341E-05
3.666666667,0.477534151,0.003025948,0.519439901,4.77534E-05,3.02595E-07,5.1944E-05
3.933333333,0.440731153,0.003289846,0.555979001,4.40731E-05,3.28985E-07,5.55979E-05
4.2,0.407042472,0.00284777,0.590109758,4.07042E-05,2.84777E-07,5.9011E-05
4.6,0.421844512,0.002960114,0.575195374,4.21845E-05,2.96011E-07,5.75195E-05
4.883333333,0.406111127,0.003040574,0.590848299,4.06111E-05,3.04057E-07,5.90848E-05
5.133333333,0.343023867,0.002918573,0.65405756,3.43024E-05,2.91857E-07,6.54058E-05
5.266666667,0.311896779,0.002687109,0.685416112,3.11897E-05,2.68711E-07,6.85416E-05
