time-h,LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.0001,0,0,0
0.033333333,0.985754805,0.013097603,0.001092957,5.46354E-05,9.85755E-05,1.30976E-06,1.09296E-07,5.46354E-09
0.183333333,0.925983726,0.06569881,0.007748881,0.000568584,9.25984E-05,6.56988E-06,7.74888E-07,5.68584E-08
0.316666667,0.886634431,0.09651381,0.016018239,0.000833521,8.86634E-05,9.65138E-06,1.60182E-06,8.33521E-08
0.45,0.843642524,0.130493621,0.024769396,0.001094459,8.43643E-05,1.30494E-05,2.47694E-06,1.09446E-07
0.583333333,0.810180935,0.150735238,0.037697269,0.001386559,8.10181E-05,1.50735E-05,3.76973E-06,1.38656E-07
0.716666667,0.792448851,0.15734013,0.048696384,0.001514635,7.92449E-05,1.5734E-05,4.86964E-06,1.51464E-07
0.85,0.775064455,0.161274059,0.061814202,0.001847284,7.75064E-05,1.61274E-05,6.18142E-06,1.84728E-07
0.983333333,0.757755084,0.169731315,0.070915844,0.001597757,7.57755E-05,1.69731E-05,7.09158E-06,1.59776E-07
1.116666667,0.726987663,0.18364247,0.087761421,0.001608446,7.26988E-05,1.83642E-05,8.77614E-06,1.60845E-07
1.25,0.719612666,0.178359485,0.100642359,0.001385491,7.19613E-05,1.78359E-05,1.00642E-05,1.38549E-07
1.383333333,0.687312095,0.195786719,0.115346456,0.00155473,6.87312E-05,1.95787E-05,1.15346E-05,1.55473E-07
1.516666667,0.670398813,0.205674605,0.122621236,0.001305345,6.70399E-05,2.05675E-05,1.22621E-05,1.30535E-07
1.65,0.672895276,0.190809074,0.134884747,0.001410903,6.72895E-05,1.90809E-05,1.34885E-05,1.4109E-07
1.783333333,0.641846976,0.202652553,0.153970129,0.001530342,6.41847E-05,2.02653E-05,1.5397E-05,1.53034E-07
1.916666667,0.641998549,0.192084516,0.164530307,0.001386628,6.41999E-05,1.92085E-05,1.6453E-05,1.38663E-07
2.05,0.612435962,0.203099136,0.183055291,0.001409611,6.12436E-05,2.03099E-05,1.83055E-05,1.40961E-07
2.183333333,0.598801279,0.219605822,0.180036452,0.001556447,5.98801E-05,2.19606E-05,1.80036E-05,1.55645E-07
2.333333333,0.577549344,0.217850169,0.203176962,0.001423526,5.77549E-05,2.1785E-05,2.03177E-05,1.42353E-07
2.466666667,0.583012585,0.200974558,0.214667444,0.001345413,5.83013E-05,2.00975E-05,2.14667E-05,1.34541E-07
2.6,0.569277128,0.212542836,0.216711514,0.001468522,5.69277E-05,2.12543E-05,2.16712E-05,1.46852E-07
2.733333333,0.569448835,0.203959666,0.22536998,0.001221519,5.69449E-05,2.0396E-05,2.2537E-05,1.22152E-07
2.866666667,0.57830074,0.191974549,0.228389888,0.001334822,5.78301E-05,1.91975E-05,2.2839E-05,1.33482E-07
3,0.561455764,0.214993406,0.222204416,0.001346415,5.61456E-05,2.14993E-05,2.22204E-05,1.34641E-07
3.133333333,0.558088744,0.194189789,0.246496361,0.001225106,5.58089E-05,1.9419E-05,2.46496E-05,1.22511E-07
3.266666667,0.584375525,0.176314872,0.238007698,0.001301905,5.84376E-05,1.76315E-05,2.38008E-05,1.3019E-07
3.4,0.580727473,0.176402513,0.241705782,0.001164232,5.80727E-05,1.76403E-05,2.41706E-05,1.16423E-07
3.533333333,0.583832965,0.166004875,0.249013233,0.001148927,5.83833E-05,1.66005E-05,2.49013E-05,1.14893E-07
3.666666667,0.592677772,0.152263724,0.25368152,0.001376984,5.92678E-05,1.52264E-05,2.53682E-05,1.37698E-07
3.8,0.566373724,0.151561876,0.280809442,0.001254957,5.66374E-05,1.51562E-05,2.80809E-05,1.25496E-07
3.933333333,0.558803567,0.150231139,0.289929753,0.001035541,5.58804E-05,1.50231E-05,2.8993E-05,1.03554E-07
4.066666667,0.557229947,0.148519127,0.293064121,0.001186805,5.5723E-05,1.48519E-05,2.93064E-05,1.18681E-07
4.25,0.547022441,0.139056212,0.312894063,0.001027283,5.47022E-05,1.39056E-05,3.12894E-05,1.02728E-07
4.35,0.581912685,0.129531464,0.287950225,0.000605626,5.81913E-05,1.29531E-05,2.8795E-05,6.05626E-08
4.483333333,0.538722746,0.1294506,0.330812434,0.00101422,5.38723E-05,1.29451E-05,3.30812E-05,1.01422E-07
4.616666667,0.555073397,0.122612748,0.321009997,0.001303859,5.55073E-05,1.22613E-05,3.2101E-05,1.30386E-07
4.75,0.54268901,0.12142911,0.334645882,0.001235998,5.42689E-05,1.21429E-05,3.34646E-05,1.236E-07
4.883333333,0.564479295,0.116071393,0.318241556,0.001207755,5.64479E-05,1.16071E-05,3.18242E-05,1.20776E-07
5.016666667,0.537289851,0.114071743,0.347593755,0.001044651,5.3729E-05,1.14072E-05,3.47594E-05,1.04465E-07
