time-h,LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.0001,0,0,0
0.066666667,0.989521419,0.010204048,0.000274533,0,9.89521E-05,1.0204E-06,2.74533E-08,0
0.2,0.881812056,0.093027015,0.019815731,0.005345198,8.81812E-05,9.3027E-06,1.98157E-06,5.3452E-07
0.333333333,0.797134391,0.155084564,0.036526765,0.01125428,7.97134E-05,1.55085E-05,3.65268E-06,1.12543E-06
0.466666667,0.69750663,0.188633789,0.097260869,0.016598712,6.97507E-05,1.88634E-05,9.72609E-06,1.65987E-06
0.6,0.479221325,0.428687907,0.077808738,0.014282031,4.79221E-05,4.28688E-05,7.78087E-06,1.4282E-06
0.733333333,0.34229069,0.567420542,0.073309388,0.016979379,3.42291E-05,5.67421E-05,7.33094E-06,1.69794E-06
0.866666667,0.343693087,0.47610072,0.161334383,0.01887181,3.43693E-05,4.76101E-05,1.61334E-05,1.88718E-06
1,0.303497358,0.440694281,0.221948328,0.033860032,3.03497E-05,4.40694E-05,2.21948E-05,3.386E-06
1.133333333,0.165621119,0.591832998,0.225857226,0.016688657,1.65621E-05,5.91833E-05,2.25857E-05,1.66887E-06
1.266666667,0.266738231,0.476811609,0.211070307,0.045379852,2.66738E-05,4.76812E-05,2.1107E-05,4.53799E-06
1.416666667,0.228642347,0.424096159,0.308448825,0.038812668,2.28642E-05,4.24096E-05,3.08449E-05,3.88127E-06
1.55,0.208070103,0.512557356,0.242366,0.037006541,2.0807E-05,5.12557E-05,2.42366E-05,3.70065E-06
1.683333333,0.156001673,0.352631595,0.466756993,0.024609739,1.56002E-05,3.52632E-05,4.66757E-05,2.46097E-06
1.816666667,0.094012965,0.499213914,0.383715996,0.023057125,9.4013E-06,4.99214E-05,3.83716E-05,2.30571E-06
1.95,0.103572031,0.498964263,0.365364276,0.03209943,1.03572E-05,4.98964E-05,3.65364E-05,3.20994E-06
2.083333333,0.060212096,0.52790943,0.389284698,0.022593776,6.02121E-06,5.27909E-05,3.89285E-05,2.25938E-06
2.366666667,0.050013183,0.446463924,0.465012937,0.038509956,5.00132E-06,4.46464E-05,4.65013E-05,3.851E-06
2.633333333,0.026050852,0.44267682,0.509101888,0.02217044,2.60509E-06,4.42677E-05,5.09102E-05,2.21704E-06
2.9,0.020896855,0.361415347,0.583553998,0.034133801,2.08969E-06,3.61415E-05,5.83554E-05,3.41338E-06
3.166666667,0.014532295,0.335571228,0.613481589,0.036414888,1.45323E-06,3.35571E-05,6.13482E-05,3.64149E-06
3.45,0.011944884,0.387598282,0.546655527,0.053801307,1.19449E-06,3.87598E-05,5.46656E-05,5.38013E-06
3.85,0.009928993,0.21737264,0.739056626,0.033641741,9.92899E-07,2.17373E-05,7.39057E-05,3.36417E-06
4.25,0.00625431,0.28272218,0.683094493,0.027929016,6.25431E-07,2.82722E-05,6.83094E-05,2.7929E-06
4.65,0.00479105,0.312912998,0.652558222,0.029737729,4.79105E-07,3.12913E-05,6.52558E-05,2.97377E-06
5.183333333,0.002088471,0.208063703,0.770758701,0.019089125,2.08847E-07,2.08064E-05,7.70759E-05,1.90891E-06
5.733333333,0.001544325,0.200666746,0.780769976,0.017018953,1.54432E-07,2.00667E-05,7.8077E-05,1.7019E-06
6,0.001055522,0.158937435,0.823894842,0.016112201,1.05552E-07,1.58937E-05,8.23895E-05,1.61122E-06
23.55,0.000250819,0.003423576,0.995068031,0.001257574,2.50819E-08,3.42358E-07,9.95068E-05,1.25757E-07
28.93333333,0.00255824,0.005949613,0.990123622,0.001368525,2.55824E-07,5.94961E-07,9.90124E-05,1.36852E-07
30.01666667,0.001080039,0.003881581,0.9944198,0.00061858,1.08004E-07,3.88158E-07,9.9442E-05,6.1858E-08
